               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099071,             0.15005,            0.089678,             0.72096,             0.15078,             0.14705,            0.060445,            0.083192,             0.12768,            0.072631,            0.070034,           0.0033296,           0.0033296
                   1,             0.08655,             0.13749,            0.065933,             0.60542,             0.31374,             0.31964,             0.15613,            0.075633,             0.12098,             0.05347,             0.04003,           0.0066596,           0.0066596
                   2,            0.082613,             0.13264,            0.053045,             0.43481,             0.49286,             0.48223,             0.23892,            0.070646,             0.11579,            0.043021,            0.010024,           0.0099864,           0.0099864
                   3,            0.078477,             0.12678,            0.044709,             0.62944,             0.60163,             0.63521,             0.33123,            0.066102,             0.10697,            0.034097,           0.0099851,           0.0099851,           0.0099851
                   4,            0.074689,             0.12343,            0.038773,             0.73095,             0.67663,             0.73254,             0.40157,            0.062755,              0.1047,            0.029987,           0.0099851,           0.0099851,           0.0099851
                   5,            0.072425,             0.12148,             0.03591,             0.78448,             0.71809,             0.77357,             0.45152,            0.060439,            0.099517,            0.027737,           0.0099802,           0.0099802,           0.0099802
                   6,            0.070794,             0.12036,            0.034211,             0.81991,             0.73706,             0.79028,             0.47108,            0.059066,            0.097772,            0.026617,           0.0099753,           0.0099753,           0.0099753
                   7,            0.069482,             0.11725,            0.033286,             0.83271,             0.75509,             0.80845,             0.49997,            0.058134,            0.095907,            0.025942,           0.0099703,           0.0099703,           0.0099703
                   8,            0.068318,             0.11692,            0.032319,             0.84932,              0.7618,             0.81547,             0.51534,            0.057028,             0.09395,            0.025253,           0.0099654,           0.0099654,           0.0099654
                   9,            0.067566,             0.11525,            0.031855,             0.86232,             0.76634,             0.82292,             0.53335,             0.05601,            0.092188,             0.02512,           0.0099604,           0.0099604,           0.0099604
                  10,            0.066671,             0.11368,             0.03127,             0.87893,             0.77692,             0.83155,             0.54156,             0.05545,            0.090933,            0.024436,           0.0099555,           0.0099555,           0.0099555
                  11,            0.066238,             0.11257,            0.031011,             0.88367,             0.77439,             0.83492,              0.5628,            0.054321,            0.088582,            0.024043,           0.0099505,           0.0099505,           0.0099505
                  12,            0.065716,             0.11194,            0.030619,             0.88071,             0.78444,             0.83863,             0.56674,            0.054132,            0.088168,            0.023768,           0.0099456,           0.0099456,           0.0099456
                  13,            0.064912,             0.11137,            0.030361,             0.87711,             0.78437,             0.83994,             0.57165,            0.053995,            0.088276,            0.023455,           0.0099406,           0.0099406,           0.0099406
                  14,            0.064772,             0.11008,            0.030208,             0.88815,             0.79153,              0.8426,             0.58386,            0.053282,            0.085751,            0.023183,           0.0099357,           0.0099357,           0.0099357
                  15,            0.064423,              0.1104,            0.029885,             0.88756,             0.79488,             0.84692,              0.5889,            0.053116,            0.085838,            0.023175,           0.0099307,           0.0099307,           0.0099307
                  16,            0.063777,             0.10864,            0.029622,             0.89282,             0.79303,             0.84561,              0.5937,            0.052879,            0.084419,            0.022953,           0.0099258,           0.0099258,           0.0099258
                  17,            0.063389,             0.10876,            0.029513,             0.89945,             0.79691,             0.84813,             0.59594,            0.052476,             0.08433,            0.022596,           0.0099208,           0.0099208,           0.0099208
                  18,            0.063373,             0.10841,            0.029385,             0.90409,             0.79809,             0.84893,             0.60026,            0.052323,             0.08372,            0.022675,           0.0099159,           0.0099159,           0.0099159
                  19,            0.063029,             0.10725,            0.029269,             0.90691,             0.79924,             0.85214,             0.61088,             0.05177,            0.082662,            0.022406,           0.0099109,           0.0099109,           0.0099109
                  20,            0.062989,             0.10732,            0.029142,             0.90447,             0.80086,             0.85333,              0.6117,            0.051776,            0.081671,            0.022348,            0.009906,            0.009906,            0.009906
                  21,            0.062725,             0.10621,            0.028985,             0.90955,             0.80417,             0.85619,             0.61876,            0.051353,            0.080798,            0.022161,            0.009901,            0.009901,            0.009901
                  22,            0.062339,             0.10624,            0.028755,             0.91168,             0.80653,             0.85675,             0.62345,             0.05103,             0.08004,            0.022108,           0.0098961,           0.0098961,           0.0098961
                  23,            0.062066,             0.10507,            0.028708,             0.91218,             0.80582,              0.8582,             0.62813,            0.050925,            0.079451,            0.021977,           0.0098911,           0.0098911,           0.0098911
                  24,            0.061923,             0.10607,            0.028686,             0.91203,             0.80686,             0.85834,              0.6288,            0.050777,            0.079737,             0.02185,           0.0098861,           0.0098861,           0.0098861
                  25,            0.062007,              0.1061,            0.028575,             0.91189,             0.80702,             0.85813,             0.62964,            0.050722,            0.079378,            0.021876,           0.0098812,           0.0098812,           0.0098812
                  26,            0.061298,             0.10361,            0.028368,             0.91503,             0.80852,             0.85911,             0.63473,            0.050471,            0.078635,            0.021722,           0.0098763,           0.0098763,           0.0098763
                  27,            0.061578,             0.10509,            0.028336,             0.91981,              0.8098,             0.86086,             0.63916,            0.050286,            0.077481,            0.021659,           0.0098713,           0.0098713,           0.0098713
                  28,            0.061349,             0.10391,            0.028231,             0.91404,             0.81173,             0.86106,             0.64011,             0.05017,            0.077543,            0.021678,           0.0098664,           0.0098664,           0.0098664
                  29,            0.061327,             0.10433,            0.028394,             0.91815,             0.81283,             0.86171,             0.64029,            0.050162,            0.077765,            0.021613,           0.0098614,           0.0098614,           0.0098614
                  30,            0.061071,             0.10269,            0.028143,             0.92078,             0.81308,             0.86339,             0.64938,            0.049751,            0.076772,            0.021486,           0.0098565,           0.0098565,           0.0098565
                  31,            0.061169,             0.10262,            0.028237,             0.92306,             0.81359,             0.86397,               0.648,            0.049751,            0.076801,            0.021471,           0.0098515,           0.0098515,           0.0098515
                  32,            0.060993,             0.10295,            0.028025,             0.92166,             0.81628,             0.86522,             0.65098,            0.049627,            0.076062,            0.021402,           0.0098466,           0.0098466,           0.0098466
                  33,            0.060737,              0.1022,            0.027942,              0.9248,             0.81389,             0.86477,             0.65304,            0.049557,            0.075741,            0.021371,           0.0098416,           0.0098416,           0.0098416
                  34,            0.060736,             0.10238,             0.02797,             0.92456,             0.81571,              0.8654,             0.65555,            0.049412,            0.075152,              0.0213,           0.0098367,           0.0098367,           0.0098367
                  35,            0.060493,             0.10238,             0.02788,             0.92572,             0.81586,             0.86607,             0.65583,            0.049276,            0.075285,            0.021261,           0.0098317,           0.0098317,           0.0098317
                  36,            0.060559,             0.10069,            0.027861,             0.92657,             0.81743,             0.86702,             0.65883,             0.04918,            0.074917,            0.021217,           0.0098268,           0.0098268,           0.0098268
                  37,            0.060273,             0.10113,            0.027788,             0.92491,             0.81737,             0.86684,             0.66092,            0.049102,            0.074824,            0.021185,           0.0098218,           0.0098218,           0.0098218
                  38,            0.060418,             0.10199,            0.027743,             0.92706,             0.81795,             0.86755,             0.66245,            0.048981,            0.074659,            0.021165,           0.0098169,           0.0098169,           0.0098169
                  39,            0.060227,             0.10072,            0.027757,             0.92618,             0.81945,             0.86871,             0.66368,            0.048864,            0.074477,            0.021104,           0.0098119,           0.0098119,           0.0098119
                  40,            0.060159,             0.10124,            0.027785,             0.92698,             0.81927,             0.86805,             0.66455,            0.048854,             0.07411,            0.021052,            0.009807,            0.009807,            0.009807
                  41,            0.060253,             0.10143,            0.027742,             0.92794,             0.81864,             0.86822,             0.66562,            0.048803,            0.073882,            0.021026,            0.009802,            0.009802,            0.009802
                  42,            0.060317,             0.10186,            0.027748,             0.92681,             0.81911,             0.86827,             0.66565,             0.04869,            0.073949,            0.021016,            0.009797,            0.009797,            0.009797
                  43,            0.060153,             0.10176,            0.027764,             0.92877,             0.81983,             0.86885,             0.66676,            0.048681,            0.073813,            0.020975,           0.0097921,           0.0097921,           0.0097921
                  44,            0.059906,             0.10119,             0.02758,             0.92991,             0.81962,             0.86886,             0.66811,            0.048604,            0.073408,            0.020958,           0.0097871,           0.0097871,           0.0097871
                  45,            0.060078,             0.10036,            0.027576,             0.92857,             0.82077,             0.86941,              0.6705,            0.048501,            0.073063,            0.020929,           0.0097822,           0.0097822,           0.0097822
                  46,            0.059737,             0.10016,            0.027524,             0.93066,             0.82033,             0.86972,             0.67111,             0.04846,            0.072854,            0.020915,           0.0097773,           0.0097773,           0.0097773
                  47,            0.059751,            0.099995,            0.027383,             0.93026,             0.82101,             0.87006,             0.67268,            0.048355,            0.072635,             0.02089,           0.0097723,           0.0097723,           0.0097723
                  48,            0.059587,             0.10008,            0.027423,             0.93188,             0.82125,             0.87062,             0.67404,            0.048298,             0.07256,            0.020853,           0.0097674,           0.0097674,           0.0097674
                  49,            0.059642,            0.099863,            0.027381,             0.93282,             0.82108,             0.87058,              0.6743,             0.04827,            0.072344,            0.020843,           0.0097624,           0.0097624,           0.0097624
                  50,            0.059545,            0.099055,             0.02737,             0.93386,             0.82124,             0.87101,             0.67488,            0.048206,            0.072147,            0.020816,           0.0097575,           0.0097575,           0.0097575
                  51,            0.059476,            0.099054,            0.027327,             0.93361,              0.8218,             0.87136,             0.67572,            0.048177,            0.072087,            0.020811,           0.0097525,           0.0097525,           0.0097525
                  52,            0.059235,            0.098988,            0.027192,             0.93356,             0.82217,              0.8717,             0.67721,              0.0481,             0.07202,            0.020782,           0.0097476,           0.0097476,           0.0097476
                  53,            0.059224,            0.099868,            0.027123,             0.93427,              0.8231,             0.87221,             0.67856,            0.048033,            0.071869,            0.020767,           0.0097426,           0.0097426,           0.0097426
                  54,            0.059235,              0.1001,            0.027386,             0.93356,             0.82297,             0.87208,             0.67902,            0.048026,            0.071704,            0.020749,           0.0097377,           0.0097377,           0.0097377
                  55,            0.059613,            0.099792,            0.027385,             0.93407,             0.82315,             0.87233,             0.67927,            0.048007,            0.071638,            0.020722,           0.0097327,           0.0097327,           0.0097327
                  56,             0.05927,            0.099426,            0.027132,              0.9345,             0.82325,             0.87256,             0.68035,            0.047964,            0.071514,            0.020704,           0.0097278,           0.0097278,           0.0097278
                  57,            0.059135,             0.10009,            0.027335,             0.93501,             0.82313,             0.87258,             0.68091,            0.047924,            0.071358,            0.020679,           0.0097228,           0.0097228,           0.0097228
                  58,            0.059432,            0.099262,            0.027266,             0.93494,             0.82382,             0.87274,             0.68131,            0.047893,            0.071398,            0.020666,           0.0097179,           0.0097179,           0.0097179
                  59,            0.059259,            0.098987,            0.027215,             0.93618,             0.82323,             0.87285,             0.68216,            0.047852,            0.071323,            0.020651,           0.0097129,           0.0097129,           0.0097129
                  60,            0.058993,            0.097485,            0.027065,             0.93671,              0.8235,               0.873,             0.68281,            0.047814,             0.07123,             0.02064,            0.009708,            0.009708,            0.009708
                  61,             0.05888,             0.09795,            0.027057,             0.93633,             0.82371,             0.87312,              0.6833,            0.047784,            0.071159,            0.020628,            0.009703,            0.009703,            0.009703
                  62,            0.059085,            0.097557,            0.027078,             0.93766,             0.82346,             0.87336,             0.68381,            0.047742,            0.071042,            0.020619,            0.009698,            0.009698,            0.009698
                  63,            0.058875,            0.097973,            0.027034,             0.93773,             0.82384,             0.87339,              0.6844,             0.04771,            0.071002,            0.020608,           0.0096931,           0.0096931,           0.0096931
                  64,            0.058843,            0.097473,            0.027074,             0.93789,             0.82424,             0.87361,             0.68502,            0.047673,             0.07093,            0.020595,           0.0096881,           0.0096881,           0.0096881
                  65,            0.058892,            0.098259,            0.027189,             0.93884,             0.82416,             0.87376,             0.68555,            0.047645,            0.070816,            0.020579,           0.0096832,           0.0096832,           0.0096832
                  66,            0.058979,             0.09963,            0.027104,              0.9387,             0.82411,             0.87379,             0.68567,            0.047628,            0.070805,             0.02057,           0.0096783,           0.0096783,           0.0096783
                  67,            0.058868,            0.098436,            0.027055,             0.93891,             0.82425,             0.87388,             0.68614,            0.047609,            0.070766,            0.020562,           0.0096733,           0.0096733,           0.0096733
                  68,            0.058713,            0.097584,            0.027005,             0.93904,             0.82459,             0.87409,             0.68658,            0.047591,            0.070721,            0.020554,           0.0096684,           0.0096684,           0.0096684
                  69,            0.058481,            0.097528,            0.026899,             0.93906,             0.82479,             0.87418,             0.68715,            0.047563,            0.070654,            0.020545,           0.0096634,           0.0096634,           0.0096634
                  70,            0.058787,             0.09753,            0.027027,             0.93989,             0.82456,              0.8743,             0.68756,            0.047541,            0.070611,            0.020539,           0.0096585,           0.0096585,           0.0096585
                  71,            0.058735,            0.097379,             0.02694,             0.93927,             0.82504,             0.87436,             0.68808,            0.047521,            0.070551,            0.020532,           0.0096535,           0.0096535,           0.0096535
                  72,            0.058576,            0.097399,            0.026897,             0.93917,             0.82519,             0.87452,             0.68851,              0.0475,            0.070472,            0.020527,           0.0096486,           0.0096486,           0.0096486
                  73,            0.058651,             0.09693,            0.026939,             0.93903,             0.82529,             0.87449,             0.68893,            0.047476,            0.070407,            0.020522,           0.0096436,           0.0096436,           0.0096436
                  74,            0.058376,             0.09622,            0.026899,             0.93878,             0.82537,             0.87446,             0.68942,            0.047455,            0.070314,            0.020516,           0.0096387,           0.0096387,           0.0096387
                  75,            0.058664,            0.097825,            0.027084,             0.93926,             0.82523,             0.87446,             0.68977,            0.047434,            0.070256,            0.020508,           0.0096337,           0.0096337,           0.0096337
                  76,            0.058526,            0.097109,            0.026902,             0.93929,             0.82527,             0.87457,             0.68992,            0.047417,            0.070225,            0.020502,           0.0096288,           0.0096288,           0.0096288
                  77,            0.058489,            0.096956,            0.026887,             0.93934,             0.82535,              0.8746,             0.69028,            0.047402,            0.070183,            0.020497,           0.0096238,           0.0096238,           0.0096238
                  78,            0.058376,             0.09665,             0.02682,             0.93937,             0.82548,             0.87468,             0.69046,            0.047389,            0.070146,            0.020493,           0.0096188,           0.0096188,           0.0096188
                  79,            0.058456,             0.09754,            0.026818,             0.93945,             0.82556,             0.87473,             0.69063,            0.047377,            0.070113,            0.020488,           0.0096139,           0.0096139,           0.0096139
                  80,            0.058548,             0.09934,            0.027049,             0.94018,              0.8253,             0.87477,             0.69078,            0.047367,            0.070096,            0.020483,            0.009609,            0.009609,            0.009609
                  81,             0.05866,            0.097864,            0.026969,             0.94039,             0.82543,             0.87478,             0.69084,            0.047357,            0.070094,            0.020478,            0.009604,            0.009604,            0.009604
                  82,            0.058468,            0.097204,            0.026925,             0.94048,             0.82554,              0.8748,             0.69098,            0.047346,            0.070071,            0.020475,            0.009599,            0.009599,            0.009599
                  83,            0.058443,            0.097452,            0.026809,             0.94057,             0.82566,             0.87486,             0.69122,            0.047334,            0.070052,            0.020471,           0.0095941,           0.0095941,           0.0095941
                  84,            0.058161,            0.095968,            0.026677,             0.94062,             0.82578,             0.87493,             0.69153,            0.047321,             0.07002,            0.020467,           0.0095892,           0.0095892,           0.0095892
                  85,            0.058268,            0.097541,            0.026781,             0.94059,             0.82594,             0.87504,             0.69181,            0.047306,            0.069976,            0.020463,           0.0095842,           0.0095842,           0.0095842
                  86,            0.058104,            0.096027,            0.026763,             0.94055,             0.82609,             0.87516,             0.69217,            0.047292,            0.069937,            0.020458,           0.0095793,           0.0095793,           0.0095793
                  87,            0.058056,            0.096558,            0.026691,             0.94135,             0.82591,             0.87518,              0.6925,             0.04728,            0.069895,            0.020453,           0.0095743,           0.0095743,           0.0095743
                  88,            0.058296,             0.09648,            0.026799,             0.94125,               0.826,             0.87517,              0.6928,            0.047268,            0.069865,            0.020448,           0.0095694,           0.0095694,           0.0095694
                  89,            0.058171,            0.096701,            0.026738,             0.94143,              0.8261,             0.87526,             0.69306,            0.047256,             0.06982,            0.020445,           0.0095644,           0.0095644,           0.0095644
                  90,             0.05818,            0.096831,            0.026774,             0.94164,             0.82621,             0.87535,             0.69335,            0.047244,              0.0698,            0.020442,           0.0095595,           0.0095595,           0.0095595
                  91,            0.057991,            0.096021,            0.026662,             0.94147,             0.82635,             0.87542,             0.69354,            0.047234,            0.069784,            0.020438,           0.0095545,           0.0095545,           0.0095545
                  92,            0.058162,            0.096867,            0.026605,             0.94165,             0.82643,             0.87549,             0.69383,            0.047225,             0.06976,            0.020435,           0.0095496,           0.0095496,           0.0095496
                  93,            0.058242,            0.096123,            0.026773,             0.94173,             0.82652,             0.87557,             0.69413,            0.047215,            0.069723,            0.020433,           0.0095446,           0.0095446,           0.0095446
                  94,            0.057854,            0.095533,             0.02654,             0.94176,              0.8265,             0.87564,             0.69435,            0.047206,            0.069681,            0.020429,           0.0095397,           0.0095397,           0.0095397
                  95,            0.058166,            0.096801,             0.02675,             0.94178,             0.82656,             0.87567,             0.69455,            0.047196,            0.069646,            0.020426,           0.0095347,           0.0095347,           0.0095347
                  96,            0.058059,            0.096536,            0.026772,             0.94166,             0.82668,             0.87575,             0.69477,            0.047186,            0.069622,            0.020423,           0.0095298,           0.0095298,           0.0095298
                  97,            0.058211,            0.096952,            0.026891,             0.94182,             0.82668,             0.87577,             0.69499,            0.047178,            0.069591,            0.020419,           0.0095248,           0.0095248,           0.0095248
                  98,            0.058126,            0.097171,            0.026782,             0.94184,             0.82664,             0.87583,             0.69516,            0.047172,            0.069559,            0.020416,           0.0095198,           0.0095198,           0.0095198
                  99,            0.058089,            0.096388,            0.026695,             0.94247,             0.82632,             0.87585,              0.6954,            0.047167,            0.069536,            0.020414,           0.0095149,           0.0095149,           0.0095149
