yolo_image_size,864,,,,,,,,,,,,,
yolo_num_classes,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#yid,oid,fid,x,y,z,,,,,,,,,
0,drogue,d0,0.390677,-0.02464188,0.336388,1,0,0,0,1,0,0,0,1
1,drogue,d1,0.39064002,-0.1370883,0.31585002,1,0,0,0,1,0,0,0,1
2,drogue,d2,0.414399,-0.241483,0.229727,1,0,0,0,1,0,0,0,1
3,drogue,d3,0.371924,-0.2789255,0.09841875,1,0,0,0,1,0,0,0,1
4,drogue,d4,0.39355952,-0.3116705,0.007250851,1,0,0,0,1,0,0,0,1
5,drogue,d5,0.397683,-0.2569355,-0.156898,1,0,0,0,1,0,0,0,1
6,drogue,d6,0.40760198,-0.19438699,-0.2413635,1,0,0,0,1,0,0,0,1
7,drogue,d7,0.38503,-0.1200569,-0.3051905,1,0,0,0,1,0,0,0,1
8,drogue,d8,0.382727,-0.00234725,-0.31400347,1,0,0,0,1,0,0,0,1
9,drogue,d9,0.4119365,0.11396941,-0.28134352,1,0,0,0,1,0,0,0,1
10,drogue,d10,0.42429748,0.211255,-0.245958,1,0,0,0,1,0,0,0,1
11,drogue,d11,0.3784185,0.2924415,-0.1723245,1,0,0,0,1,0,0,0,1
12,drogue,d12,0.42103198,0.305142,-0.05264521,1,0,0,0,1,0,0,0,1
13,drogue,d13,0.40270752,0.2986025,0.0836332,1,0,0,0,1,0,0,0,1
14,drogue,d14,0.379289,0.29906052,0.178905,1,0,0,0,1,0,0,0,1
15,drogue,d15,0.405852,0.237138,0.2707935,1,0,0,0,1,0,0,0,1
16,drogue,d16,0.41007954,0.11713445,0.31577998,1,0,0,0,1,0,0,0,1
17,drogue,d17,0.33685997,0.001593802,0.24437448,1,0,0,0,1,0,0,0,1
18,drogue,d18,0.326444,-0.11955435,0.21779,1,0,0,0,1,0,0,0,1
19,drogue,d19,0.33669353,-0.226326,0.11647835,1,0,0,0,1,0,0,0,1
20,drogue,d20,0.31584698,-0.2145795,-0.044191062,1,0,0,0,1,0,0,0,1
21,drogue,d21,0.33731598,-0.166168,-0.190572,1,0,0,0,1,0,0,0,1
22,drogue,d22,0.333445,-0.073423356,-0.209348,1,0,0,0,1,0,0,0,1
23,drogue,d23,0.3203385,0.039281517,-0.2231,1,0,0,0,1,0,0,0,1
24,drogue,d24,0.33657348,0.1628545,-0.16951351,1,0,0,0,1,0,0,0,1
25,drogue,d25,0.34509552,0.23143049,-0.050280284,1,0,0,0,1,0,0,0,1
26,drogue,d26,0.3694935,0.25482902,0.10261695,1,0,0,0,1,0,0,0,1
27,drogue,d27,0.3565425,0.18131399,0.208688,1,0,0,0,1,0,0,0,1
28,drogue,d28,0.33529353,0.040776633,0.2364995,1,0,0,0,1,0,0,0,1
29,drogue,d29,0.201872,-0.01843515,0.14429401,1,0,0,0,1,0,0,0,1
30,drogue,d30,0.20240298,-0.10943155,0.0540966,1,0,0,0,1,0,0,0,1
31,drogue,d31,0.18812549,-0.1317655,-0.0706207,1,0,0,0,1,0,0,0,1
32,drogue,d32,0.18225849,-0.002435947,-0.118029095,1,0,0,0,1,0,0,0,1
33,drogue,d33,0.185776,0.0990205,-0.1038711,1,0,0,0,1,0,0,0,1
34,drogue,d34,0.19913201,0.13735534,0.005554701,1,0,0,0,1,0,0,0,1
35,drogue,d35,0.24773249,0.1251816,0.118001096,1,0,0,0,1,0,0,0,1
36,drogue,d36,0.12654531,0.06433595,0.036903445,1,0,0,0,1,0,0,0,1
37,drogue,d37,0.120452546,-0.01859625,0.08352769,1,0,0,0,1,0,0,0,1
38,drogue,d38,0.1224005,-0.08057965,0.003114399,1,0,0,0,1,0,0,0,1
39,drogue,d39,0.13296449,-0.04024266,-0.08302405,1,0,0,0,1,0,0,0,1
40,drogue,d40,0.153773,0.08530285,-0.0753106,1,0,0,0,1,0,0,0,1
41,drogue,d41,0.07926875,0.001205399,0.006007549,1,0,0,0,1,0,0,0,1
42,drogue,d42,0.1459815,0.001198998,0.004702495,1,0,0,0,1,0,0,0,1
43,drogue,d43,0.00922573,0.00157575,0.003435949,1,0,0,0,1,0,0,0,1
44,drogue,d44,0.37222198,0.003318497,0.005221497,1,0,0,0,1,0,0,0,1
45,drogue,d45,0.18643793,0.18342786,0.18341656,1,0,0,0,1,0,0,0,1
46,drogue,d46,0.19028743,-0.17568763,0.18563779,1,0,0,0,1,0,0,0,1
47,drogue,d47,0.19029887,-0.18023041,-0.1777524,1,0,0,0,1,0,0,0,1
48,drogue,d48,0.18878907,0.1826935,-0.17038271,1,0,0,0,1,0,0,0,1
49,drogue,d49,0.4098385,0.004377007,0.327942,1,0,0,0,1,0,0,0,1
50,drogue,d50,0.40648848,-0.306207,0.016650498,1,0,0,0,1,0,0,0,1
51,drogue,d51,0.409565,0.312023,0.010103004,1,0,0,0,1,0,0,0,1
52,drogue,d52,0.41393352,-0.018516503,-0.30060902,1,0,0,0,1,0,0,0,1
53,drogue,d53,0.4120065,0.020669999,-0.17804946,1,0,0,0,1,0,0,0,1
54,drogue,d54,0.41204602,0.0217415,0.18390201,1,0,0,0,1,0,0,0,1
55,drogue,d55,0.37088,0.18182768,0.004893997,1,0,0,0,1,0,0,0,1
56,drogue,d56,0.37249798,-0.17619501,0.004893997,1,0,0,0,1,0,0,0,1
57,drogue,d57,0.450956,0.010262009,0.08710734,1,0,0,0,1,0,0,0,1
58,drogue,d58,0.451317,0.005514984,-0.05072341,1,0,0,0,1,0,0,0,1
